1128, 490, 500
1129, 501, 491
1130, 491, 502
1131, 503, 492
1132, 492, 504
1133, 583, 493
1134, 245, 252
1135, 494, 245
1136, 252, 237
1137, 237, 495
1138, 243, 249
1139, 496, 243
1140, 249, 239
1141, 239, 497
1142, 246, 248
1143, 498, 246
1144, 248, 235
1145, 235, 499
1146, 244, 247
1147, 500, 244
1148, 247, 236
1149, 236, 501
1150, 242, 250
1151, 502, 242
1152, 250, 240
1153, 240, 503
1154, 241, 251
1155, 504, 241
1156, 251, 238
1157, 238, 628
1158, 584, 252
1159, 252, 585
1160, 586, 249
1161, 249, 587
1162, 588, 248
1163, 248, 589
1164, 590, 247
1165, 247, 591
1166, 592, 250
1167, 250, 593
1168, 594, 251
1169, 251, 595
1170, 493, 494
1171, 495, 496
1172, 497, 498
1173, 499, 500
1174, 501, 502
1175, 503, 504
1176, 596, 493
1177, 493, 597
1178, 494, 598
1179, 599, 494
1180, 600, 495
1181, 495, 601
1182, 496, 602
1183, 603, 496
1184, 604, 497
1185, 497, 605
1186, 498, 606
1187, 607, 498
1188, 608, 499
1189, 499, 609
1190, 500, 610
1191, 611, 500
1192, 612, 501
1193, 501, 613
1194, 502, 614
1195, 615, 502
1196, 616, 503
1197, 503, 617
1198, 504, 618
1199, 619, 504
1200, 620, 628
